Function,Iterations,Concatenations,OPS,Error,JVM,Computer
Basic Concat,1,1,168495978.8,332251.369,temurin-20.0.2,M2 Macbook Air
Basic Concat,10,1,17337143.71,46585.335,temurin-20.0.2,M2 Macbook Air
Basic Concat,100,1,1653353.206,5360.124,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000,1,144769.728,1395.846,temurin-20.0.2,M2 Macbook Air
Basic Concat,10000,1,13044.159,55.454,temurin-20.0.2,M2 Macbook Air
Basic Concat,100000,1,1071.598,8.158,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000000,1,101.055,0.702,temurin-20.0.2,M2 Macbook Air
Basic Concat,1,2,103858086.3,2870863.624,temurin-20.0.2,M2 Macbook Air
Basic Concat,10,2,10386084.57,65534.226,temurin-20.0.2,M2 Macbook Air
Basic Concat,100,2,953880.091,20038.882,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000,2,89219.967,555.081,temurin-20.0.2,M2 Macbook Air
Basic Concat,10000,2,8288.729,28.031,temurin-20.0.2,M2 Macbook Air
Basic Concat,100000,2,758.075,2.122,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000000,2,69.742,0.866,temurin-20.0.2,M2 Macbook Air
Basic Concat,1,4,33566135.18,302989.695,temurin-20.0.2,M2 Macbook Air
Basic Concat,10,4,3148205.429,15607.53,temurin-20.0.2,M2 Macbook Air
Basic Concat,100,4,314168.75,4235.257,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000,4,30345.527,378.019,temurin-20.0.2,M2 Macbook Air
Basic Concat,10000,4,3138.445,1032.608,temurin-20.0.2,M2 Macbook Air
Basic Concat,100000,4,295.923,3.831,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000000,4,29.006,0.981,temurin-20.0.2,M2 Macbook Air
Basic Concat,1,8,16658198.52,262933.081,temurin-20.0.2,M2 Macbook Air
Basic Concat,10,8,1666982.278,6909.762,temurin-20.0.2,M2 Macbook Air
Basic Concat,100,8,166927.641,1498.377,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000,8,17345.155,71.087,temurin-20.0.2,M2 Macbook Air
Basic Concat,10000,8,1551.191,25.076,temurin-20.0.2,M2 Macbook Air
Basic Concat,100000,8,160.285,1.192,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000000,8,16.034,0.118,temurin-20.0.2,M2 Macbook Air
Basic Concat,1,16,8712320.717,43523.236,temurin-20.0.2,M2 Macbook Air
Basic Concat,10,16,876865.454,5703.66,temurin-20.0.2,M2 Macbook Air
Basic Concat,100,16,88231.665,354.245,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000,16,9022.295,48.257,temurin-20.0.2,M2 Macbook Air
Basic Concat,10000,16,841.638,60.522,temurin-20.0.2,M2 Macbook Air
Basic Concat,100000,16,85.91,0.445,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000000,16,8.629,0.103,temurin-20.0.2,M2 Macbook Air
Basic Concat,1,32,4519182.077,62236.225,temurin-20.0.2,M2 Macbook Air
Basic Concat,10,32,451194.074,2643.071,temurin-20.0.2,M2 Macbook Air
Basic Concat,100,32,45103.661,314.306,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000,32,4555.118,98.864,temurin-20.0.2,M2 Macbook Air
Basic Concat,10000,32,443.043,3.245,temurin-20.0.2,M2 Macbook Air
Basic Concat,100000,32,44.486,0.095,temurin-20.0.2,M2 Macbook Air
Basic Concat,1000000,32,4.442,0.017,temurin-20.0.2,M2 Macbook Air
Basic Concat,1,64,2208472.529,7232.426,temurin-20.0.2,M2 Macbook Air
Basic Concat,10,64,218801.486,1728.313,temurin-20.0.2,M2 Macbook Air
